"age","critical","criticalL","criticalH","study"
"0-4",0.0170388349514563,0.0113592233009709,0.0227184466019418,"Driscoll"
"5-9",0.00567961165048544,0,0.00567961165048544,"Driscoll"
"10-14",0.00567961165048544,0.00567961165048544,0.00567961165048544,"Driscoll"
"15-19",0.0170388349514563,0.0113592233009709,0.0170388349514563,"Driscoll"
"20-24",0.0340776699029126,0.0283980582524272,0.0454368932038835,"Driscoll"
"25-29",0.0738349514563107,0.0624757281553398,0.0851941747572816,"Driscoll"
"30-34",0.136310679611651,0.119271844660194,0.159029126213592,"Driscoll"
"35-39",0.227184466019418,0.193106796116505,0.266941747572816,"Driscoll"
"40-44",0.310355648535565,0.264836820083682,0.360012552301256,"Driscoll"
"45-49",0.500707112970712,0.430359832635984,0.579330543933055,"Driscoll"
"50-54",0.54264705882353,0.464002557544757,0.626534526854221,"Driscoll"
"55-59",0.846739130434783,0.726150895140666,0.977813299232737,"Driscoll"
"60-64",0.875392670157068,0.752530541012216,1.01169284467714,"Driscoll"
"65-69",2.06369982547993,1.76806282722513,2.38813263525305,"Driscoll"
"70-74",2.61144,2.2386,3.02172,"Driscoll"
"75-79",4.99668,4.28064,5.7798,"Driscoll"
"80+",13.6315454545455,11.6801893939394,15.7703106060606,"Driscoll"
"0-9",0.0567961165048544,0,0.340776699029126,"Brazeau"
"10-14",0.0567961165048544,0,0.624757281553398,"Brazeau"
"15-19",0.113592233009709,0,1.02233009708738,"Brazeau"
"20-24",0.170388349514563,0,1.70388349514563,"Brazeau"
"25-29",0.227184466019418,0,2.6126213592233,"Brazeau"
"30-34",0.340776699029126,0.0567961165048544,4.03252427184466,"Brazeau"
"35-39",0.567961165048544,0.0567961165048544,5.85,"Brazeau"
"40-44",0.662092050209206,0.0827615062761507,6.08297071129708,"Brazeau"
"45-49",0.993138075313809,0.124142259414226,8.4002928870293,"Brazeau"
"50-54",0.996163682864451,0.131074168797954,7.18286445012788,"Brazeau"
"55-59",1.57289002557545,0.262148337595908,9.54219948849106,"Brazeau"
"60-64",1.80453752181501,0.345549738219895,9.19546247818499,"Brazeau"
"65-69",2.82198952879581,0.671902268760907,12.0366492146597,"Brazeau"
"70-74",3.6036,1.014,12.8076,"Brazeau"
"75-79",5.6316,1.8876,16.848,"Brazeau"
"80-84",9.30469696969697,3.66598484848485,23.5083333333333,"Brazeau"
"85-89",14.565303030303,6.67439393939394,31.7280303030303,"Brazeau"
"90+",28.5552272727273,15.9462121212121,51.1593939393939,"Brazeau"
"0-9",0.00567961165048544,0.000397572815533981,0.00738349514563107,"Levin"
"10-19",0.0170388349514563,0.0113592233009709,0.0227184466019418,"Levin"
"20-29",0.0624757281553398,0.0511165048543689,0.0738349514563107,"Levin"
"30-39",0.19878640776699,0.170388349514563,0.238543689320388,"Levin"
"40-49",0.480016736401674,0.417945606694561,0.55450209205021,"Levin"
"50-59",1.00664961636829,0.878196930946292,1.15607416879795,"Levin"
"60-69",2.43804537521815,2.09249563699825,2.86038394415358,"Levin"
"70-79",6.5364,5.382,7.956,"Levin"
"80+",25.6618939393939,20.0560606060606,32.8787878787879,"Levin"
"0-4",0.0116743227853631,0.00804947601082791,0.0169315135933712,"Fitted"
"5-9",0.0178512671238343,0.0126977226631318,0.0250964481096874,"Fitted"
"10-14",0.027296464538913,0.0200055309061952,0.0372445490108637,"Fitted"
"15-19",0.0417391645733266,0.0314681080903705,0.0553626501560276,"Fitted"
"20-24",0.0638235716129346,0.0493917398382997,0.0824722576440349,"Fitted"
"25-29",0.0975929522085961,0.0773010955047494,0.123211505071156,"Fitted"
"30-34",0.149229886076433,0.120518867142952,0.184780685599796,"Fitted"
"35-39",0.228188187716528,0.186971413995738,0.278490962337914,"Fitted"
"40-44",0.348923733592372,0.288307479402173,0.422284472523897,"Fitted"
"45-49",0.53354107888917,0.441515044574679,0.644748319134728,"Fitted"
"50-54",0.815840412835827,0.671389924531373,0.991369627241153,"Fitted"
"55-59",1.24750577894002,1.01435402412972,1.53424803517092,"Fitted"
"60-64",1.90756751443486,1.52419750567415,2.38736371669742,"Fitted"
"65-69",2.91687131519263,2.28050919540677,3.73080638592909,"Fitted"
"70-74",4.46020295743725,3.40101385361179,5.84925886156144,"Fitted"
"75-79",6.82011932371388,5.05971192266206,9.19301895061709,"Fitted"
"80+",13.4552488981198,9.51889490934833,19.019405575384,"Fitted"
