"age","IFR","IFR_L","IFR_H","study"
"0-4",0.003,0.002,0.004,"Driscoll"
"5-9",0.001,0,0.001,"Driscoll"
"10-14",0.001,0.001,0.001,"Driscoll"
"15-19",0.003,0.002,0.003,"Driscoll"
"20-24",0.006,0.005,0.008,"Driscoll"
"25-29",0.013,0.011,0.015,"Driscoll"
"30-34",0.024,0.021,0.028,"Driscoll"
"35-39",0.04,0.034,0.047,"Driscoll"
"40-44",0.075,0.064,0.087,"Driscoll"
"45-49",0.121,0.104,0.14,"Driscoll"
"50-54",0.207,0.177,0.239,"Driscoll"
"55-59",0.323,0.277,0.373,"Driscoll"
"60-64",0.456,0.392,0.527,"Driscoll"
"65-69",1.075,0.921,1.244,"Driscoll"
"70-74",1.674,1.435,1.937,"Driscoll"
"75-79",3.203,2.744,3.705,"Driscoll"
"80+",8.292,7.105,9.593,"Driscoll"
"0-9",0.01,0,0.06,"Brazeau"
"10-14",0.01,0,0.11,"Brazeau"
"15-19",0.02,0,0.18,"Brazeau"
"20-24",0.03,0,0.3,"Brazeau"
"25-29",0.04,0,0.46,"Brazeau"
"30-34",0.06,0.01,0.71,"Brazeau"
"35-39",0.1,0.01,1.03,"Brazeau"
"40-44",0.16,0.02,1.47,"Brazeau"
"45-49",0.24,0.03,2.03,"Brazeau"
"50-54",0.38,0.05,2.74,"Brazeau"
"55-59",0.6,0.1,3.64,"Brazeau"
"60-64",0.94,0.18,4.79,"Brazeau"
"65-69",1.47,0.35,6.27,"Brazeau"
"70-74",2.31,0.65,8.21,"Brazeau"
"75-79",3.61,1.21,10.8,"Brazeau"
"80-84",5.66,2.23,14.3,"Brazeau"
"85-89",8.86,4.06,19.3,"Brazeau"
"90+",17.37,9.7,31.12,"Brazeau"
"0-9",0.001,7e-05,0.0013,"Levin"
"10-19",0.003,0.002,0.004,"Levin"
"20-29",0.011,0.009,0.013,"Levin"
"30-39",0.035,0.03,0.042,"Levin"
"40-49",0.116,0.101,0.134,"Levin"
"50-59",0.384,0.335,0.441,"Levin"
"60-69",1.27,1.09,1.49,"Levin"
"70-79",4.19,3.45,5.1,"Levin"
"80+",15.61,12.2,20,"Levin"
"0-4",0.00149042347877928,0.00104788453757004,0.00211985392135633,"Fitted"
"5-9",0.0025144074000416,0.00182075361117214,0.00347232296264066,"Fitted"
"10-14",0.00424191155292464,0.0031599699257255,0.0056942990109959,"Fitted"
"15-19",0.0071562840701701,0.00547580446212315,0.00935248912688778,"Fitted"
"20-24",0.0120729536799656,0.00946945937739506,0.0153922420224471,"Fitted"
"25-29",0.0203675831100891,0.0163311117810263,0.0254017269190669,"Fitted"
"30-34",0.0343609735233878,0.0280628350682735,0.0420726023797136,"Fitted"
"35-39",0.0579684145680548,0.0479966393544249,0.0700119244332899,"Fitted"
"40-44",0.0977951653566117,0.0816185858415028,0.117177898496053,"Fitted"
"45-49",0.164984577176922,0.137890094048648,0.19740294539682,"Fitted"
"50-54",0.27833595461483,0.231407419310665,0.33478141652556,"Fitted"
"55-59",0.469564519041513,0.385970864099053,0.571262906223156,"Fitted"
"60-64",0.79217518932403,0.640460936905638,0.979827955803996,"Fitted"
"65-69",1.33643302492598,1.05844248967626,1.68743530946032,"Fitted"
"70-74",2.25461899612996,1.74382152230867,2.91503846734281,"Fitted"
"75-79",3.80363753581413,2.86637604481136,5.04736931849649,"Fitted"
"80+",8.78214624483144,6.32671220120092,12.1905486155933,"Fitted"
